deploy_20210621,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210623,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210626,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210627,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210628,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210629,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210630,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210701_A,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210701_B,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210701_C,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210701_D,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,,deploy_20210701_E,SectionDuration,zero_pressure_interval,depth_m_,serialnum,dt_s_,instrument1,Skip,notes,
,,,5.08,207037,0,solo,,,,,,,5.08,207037,0,solo,,,,,,,5.08,207037,0,solo,,,,,,,5.588,207040,0,solo,,slid 25 cm,,,,,5.08,207037,0,solo,,,,,,,5.08,207037,0,solo,,,,,,,5.08,207037,0,solo,,,,,,,5.08,207037,0,solo,,,,,,,5.08,207037,0,solo,,,,,,,5.08,207037,0,solo,,,,,,,5.08,207037,0,solo,,,,,,,5.08,207037,0,solo,,,
,,,5.588,207040,0,solo,,,,,,,5.588,207040,0,solo,,,,,,,5.588,207040,0,solo,,,,,,,6.096,207041,0,solo,,,,,,,5.588,207040,0,solo,,,,,,,5.588,207040,0,solo,,,,,,,5.588,207040,0,solo,,,,,,,5.588,207040,0,solo,,,,,,,5.588,207040,0,solo,,,,,,,5.588,207040,0,solo,,,,,,,5.588,207040,0,solo,,,,,,,5.588,207040,0,solo,,,
,,,6.096,207041,0,solo,,,,,,,6.096,207041,0,solo,,,,,,,6.096,207041,0,solo,,,,,,,6.604,207044,0,solo,,,,,,,6.096,207041,0,solo,,slipped 3cm,,,,,6.096,207041,0,solo,,slipped 3cm,,,,,6.096,207041,0,solo,,,,,,,6.096,207041,0,solo,,,,,,,6.096,207041,0,solo,,,,,,,6.096,207041,0,solo,,,,,,,6.096,207041,0,solo,,,,,,,6.096,207041,0,solo,,,
,,,6.604,207044,0,solo,,,,,,,6.604,207044,0,solo,,,,,,,6.604,207044,0,solo,,,,,,,7.112,207050,0,solo,,slid 8 cm,,,,,6.604,207044,0,solo,,,,,,,6.604,207044,0,solo,,,,,,,6.604,207044,0,solo,,,,,,,6.604,207044,0,solo,,slipped 4cm,,,,,6.604,207044,0,solo,,slipped 4cm,,,,,6.604,207044,0,solo,,slipped 4cm,,,,,6.604,207044,0,solo,,slipped 4cm,,,,,6.604,207044,0,solo,,slipped 4cm,
,,,7.112,207050,0,solo,,,,,,,7.112,207050,0,solo,,,,,,,7.112,207050,0,solo,,,,,,,7.62,207034,0,solo,,,,,,,7.112,207050,0,solo,,slipped 31cm,,,,,7.112,207050,0,solo,,slipped 31cm,,,,,7.112,207050,0,solo,,,,,,,7.112,207050,0,solo,,,,,,,7.112,207050,0,solo,,,,,,,7.112,207050,0,solo,,,,,,,7.112,207050,0,solo,,,,,,,7.112,207050,0,solo,,,
,,,7.62,207034,0,solo,,,,,,,7.62,207034,0,solo,,,,,,,7.62,207034,0,solo,,,,,,,8.636,207031,0,solo,,slid 10 cm,,,,,7.62,207034,0,solo,,slipped 17cm,,,,,7.62,207034,0,solo,,slipped 17cm,,,,,7.62,207034,0,solo,,,,,,,7.62,207034,0,solo,,,,,,,7.62,207034,0,solo,,,,,,,7.62,207034,0,solo,,,,,,,7.62,207034,0,solo,,,,,,,7.62,207034,0,solo,,,
,,,8.128,60559,0,concerto,,,,,,,8.128,60559,0,concerto,1,,,,,,8.128,60559,0,concerto,1,,,,,,9.144,207020,0,solo,,,,,,,8.128,60559,0,concerto,,,,,,,8.128,60559,0,concerto,,,,,,,8.128,60559,0,concerto,,,,,,,8.128,60559,0,concerto,,,,,,,8.128,60559,0,concerto,,,,,,,8.128,60559,0,concerto,,,,,,,8.128,60559,0,concerto,,,,,,,8.128,60559,0,concerto,,,
,,,8.636,207031,0,solo,,,,,,,8.636,207031,0,solo,,,,,,,8.636,207031,0,solo,,,,,,,9.652,207038,0,solo,,slid down 27cm,,,,,8.636,207031,0,solo,,,,,,,8.636,207031,0,solo,,,,,,,8.636,207031,0,solo,,,,,,,8.636,207031,0,solo,,,,,,,8.636,207031,0,solo,,,,,,,8.636,207031,0,solo,,,,,,,8.636,207031,0,solo,,,,,,,8.636,207031,0,solo,,,
,,,9.144,207020,0,solo,,closer than 20in to previous solo (by 3cm),,,,,9.144,207020,0,solo,,closer than 20in to previous solo (by 3cm),,,,,9.144,207020,0,solo,,,,,,,10.13,207032,0,solo,,,,,,,9.144,207020,0,solo,,,,,,,9.144,207020,0,solo,,,,,,,9.144,207020,0,solo,,,,,,,9.144,207020,0,solo,,,,,,,9.144,207020,0,solo,,,,,,,9.144,207020,0,solo,,,,,,,9.144,207020,0,solo,,,,,,,9.144,207020,0,solo,,,
,,,9.652,207038,0,solo,,,,,,,9.652,207038,0,solo,,,,,,,9.652,207038,0,solo,,slid down 11cm,,,,,10.668,207029,0,solo,,7 cm,,,,,9.652,207038,0,solo,,,,,,,,,,,,,,,,,9.652,207038,0,solo,,,,,,,,,,,,,,,,,9.652,207038,0,solo,,,,,,,,,,,,,,,,,9.652,207038,0,solo,,,,,,,,,,,,,
,,,10.13,207032,0,solo,,,,,,,10.13,207032,0,solo,,slid down 16cm,,,,,10.13,207032,0,solo,,,,,,,11.176,207061,0,solo,,,,,,,10.13,207032,0,solo,,,,,,,,,,,,,,,,,10.13,207032,0,solo,,,,,,,,,,,,,,,,,10.13,207032,0,solo,,,,,,,,,,,,,,,,,10.13,207032,0,solo,,,,,,,,,,,,,
,,,10.668,207029,0,solo,,,,,,,10.668,207029,0,solo,,,,,,,10.668,207029,0,solo,,,,,,,11.684,207052,0,solo,,slid 10 cm,,,,,10.668,207029,0,solo,,,,,,,,,,,,,,,,,10.668,207029,0,solo,,,,,,,,,,,,,,,,,10.668,207029,0,solo,,,,,,,,,,,,,,,,,10.668,207029,0,solo,,,,,,,,,,,,,
,,,11.176,207061,0,solo,,,,,,,11.176,207061,0,solo,,,,,,,11.176,207061,0,solo,,,,,,,12.192,207058,0,solo,,slid 53 cm,,,,,11.176,207061,0,solo,,,,,,,,,,,,,,,,,11.176,207061,0,solo,,,,,,,,,,,,,,,,,11.176,207061,0,solo,,slipped 5cm,,,,,,,,,,,,,,,11.176,207061,0,solo,,slipped 5cm,,,,,,,,,,,
,,,11.684,207052,0,solo,,,,,,,11.684,207052,0,solo,,slid down 21.5cm,,,,,11.684,207052,0,solo,,,,,,,12.7,207062,0,solo,,slid 46 cm,,,,,11.684,207052,0,solo,,,,,,,,,,,,,,,,,11.684,207052,0,solo,,,,,,,,,,,,,,,,,11.684,207052,0,solo,,,,,,,,,,,,,,,,,11.684,207052,0,solo,,,,,,,,,,,,,
